format,date,opponent,venue,runs,balls,fours,sixes,not_out,dismissal,tour,away,season,match_ref,tour_id
ODI,2017-09-17,Australia,Chennai,0,4,,,,caught,v Australia in India 2017,no,,ODI # 3910,v Australia in India 2017|Australia
ODI,2017-09-21,Australia,Eden Gardens,92,107,8,,,bowled,v Australia in India 2017,no,,ODI # 3912,v Australia in India 2017|Australia
ODI,2017-09-24,Australia,Indore,28,35,2,,,caught,v Australia in India 2017,no,,ODI # 3914,v Australia in India 2017|Australia
ODI,2017-09-28,Australia,Bengaluru,21,21,3,,,bowled,v Australia in India 2017,no,,ODI # 3917,v Australia in India 2017|Australia
ODI,2017-10-01,Australia,Nagpur,39,55,2,,,caught,v Australia in India 2017,no,,ODI # 3919,v Australia in India 2017|Australia
T20I,2017-10-07,Australia,Ranchi,22,14,3,,yes,not out,v Australia in India 2017,no,,T20I # 623,v Australia in India 2017|Australia
T20I,2017-10-10,Australia,Guwahati,0,2,,,,caught,v Australia in India 2017,no,,T20I # 624,v Australia in India 2017|Australia
ODI,2017-10-22,New Zealand,Wankhede,121,125,9,2,,caught,v New Zealand in India 2017,no,,ODI # 3928,v New Zealand in India 2017|New Zealand
ODI,2017-10-25,New Zealand,Pune,29,29,3,1,,caught,v New Zealand in India 2017,no,,ODI # 3931,v New Zealand in India 2017|New Zealand
ODI,2017-10-29,New Zealand,Kanpur,113,106,9,1,,caught,v New Zealand in India 2017,no,,ODI # 3932,v New Zealand in India 2017|New Zealand
T20I,2017-11-01,New Zealand,Delhi,26,11,,3,yes,not out,v New Zealand in India 2017,no,,T20I # 630,v New Zealand in India 2017|New Zealand
T20I,2017-11-04,New Zealand,Rajkot,65,42,8,1,,caught,v New Zealand in India 2017,no,,T20I # 631,v New Zealand in India 2017|New Zealand
T20I,2017-11-07,New Zealand,Thiruvananthapuram,13,6,1,1,,caught,v New Zealand in India 2017,no,,T20I # 632,v New Zealand in India 2017|New Zealand
Test,2017-11-16,Sri Lanka,Eden Gardens,0,11,,,,lbw,v Sri Lanka in India 2017,no,,Test # 2281,v Sri Lanka in India 2017|Sri Lanka
Test,2017-11-16,Sri Lanka,Eden Gardens,104,119,12,2,yes,not out,v Sri Lanka in India 2017,no,,Test # 2281,v Sri Lanka in India 2017|Sri Lanka
Test,2017-11-24,Sri Lanka,Nagpur,213,267,17,2,,caught,v Sri Lanka in India 2017,no,,Test # 2283,v Sri Lanka in India 2017|Sri Lanka
Test,2017-12-02,Sri Lanka,Delhi,243,287,25,,,lbw,v Sri Lanka in India 2017,no,,Test # 2286,v Sri Lanka in India 2017|Sri Lanka
Test,2017-12-02,Sri Lanka,Delhi,50,58,3,,,caught,v Sri Lanka in India 2017,no,,Test # 2286,v Sri Lanka in India 2017|Sri Lanka
Test,2018-01-05,South Africa,Cape Town,5,13,,,,caught,India in South Africa 2018 — v South Africa,yes,,Test # 2292,India in South Africa 2018 — v South Africa|South Africa
Test,2018-01-05,South Africa,Cape Town,28,40,4,,,lbw,India in South Africa 2018 — v South Africa,yes,,Test # 2292,India in South Africa 2018 — v South Africa|South Africa
Test,2018-01-13,South Africa,Centurion,153,217,15,,,caught,India in South Africa 2018 — v South Africa,yes,,Test # 2293,India in South Africa 2018 — v South Africa|South Africa
Test,2018-01-13,South Africa,Centurion,5,20,1,,,lbw,India in South Africa 2018 — v South Africa,yes,,Test # 2293,India in South Africa 2018 — v South Africa|South Africa
Test,2018-01-24,South Africa,Johannesburg,54,106,9,,,caught,India in South Africa 2018 — v South Africa,yes,,Test # 2294,India in South Africa 2018 — v South Africa|South Africa
Test,2018-01-24,South Africa,Johannesburg,41,79,6,,,bowled,India in South Africa 2018 — v South Africa,yes,,Test # 2294,India in South Africa 2018 — v South Africa|South Africa
ODI,2018-02-01,South Africa,Durban,112,119,10,,,caught,India in South Africa 2018 — v South Africa,yes,,ODI # 3969,India in South Africa 2018 — v South Africa|South Africa
ODI,2018-02-04,South Africa,Centurion,46,50,4,1,yes,not out,India in South Africa 2018 — v South Africa,yes,,ODI # 3970,India in South Africa 2018 — v South Africa|South Africa
ODI,2018-02-07,South Africa,Cape Town,160,159,12,2,yes,not out,India in South Africa 2018 — v South Africa,yes,,ODI # 3971,India in South Africa 2018 — v South Africa|South Africa
ODI,2018-02-10,South Africa,Johannesburg,75,83,7,1,,caught,India in South Africa 2018 — v South Africa,yes,,ODI # 3973,India in South Africa 2018 — v South Africa|South Africa
ODI,2018-02-13,South Africa,Gqeberha,36,54,2,,,run out,India in South Africa 2018 — v South Africa,yes,,ODI # 3976,India in South Africa 2018 — v South Africa|South Africa
ODI,2018-02-16,South Africa,Centurion,129,96,19,2,yes,not out,India in South Africa 2018 — v South Africa,yes,,ODI # 3978,India in South Africa 2018 — v South Africa|South Africa
T20I,2018-02-18,South Africa,Johannesburg,26,20,2,1,,lbw,India in South Africa 2018 — v South Africa,yes,,T20I # 652,India in South Africa 2018 — v South Africa|South Africa
T20I,2018-02-21,South Africa,Centurion,1,5,,,,caught,India in South Africa 2018 — v South Africa,yes,,T20I # 654,India in South Africa 2018 — v South Africa|South Africa
IPL,2018-04-08,Kolkata Knight Riders,Eden Gardens,31,33,1,1,,bowled,,,IPL 2018,IPL-1136563,
IPL,2018-04-13,Kings XI Punjab,M.Chinnaswamy Stadium,21,16,4,0,,bowled,,,IPL 2018,IPL-1136568,
IPL,2018-04-15,Rajasthan Royals,M.Chinnaswamy Stadium,57,31,7,2,,caught (DJM Short),,,IPL 2018,IPL-1136571,
IPL,2018-04-17,Mumbai Indians,Wankhede Stadium,92,62,7,4,,,,,IPL 2018,IPL-1136574,
IPL,2018-04-21,Delhi Daredevils,M.Chinnaswamy Stadium,30,26,2,1,,caught (TA Boult),,,IPL 2018,IPL-1136579,
IPL,2018-04-25,Chennai Super Kings,M.Chinnaswamy Stadium,18,15,3,0,,caught (RA Jadeja),,,IPL 2018,IPL-1136584,
IPL,2018-04-29,Kolkata Knight Riders,M.Chinnaswamy Stadium,68,44,5,3,,,,,IPL 2018,IPL-1136589,
IPL,2018-05-01,Mumbai Indians,M.Chinnaswamy Stadium,32,26,2,1,,caught (KA Pollard),,,IPL 2018,IPL-1136591,
IPL,2018-05-05,Chennai Super Kings,Maharashtra Cricket Association Stadium,8,11,1,0,,bowled,,,IPL 2018,IPL-1136595,
IPL,2018-05-07,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,39,30,5,1,,caught (YK Pathan),,,IPL 2018,IPL-1136599,
IPL,2018-05-12,Delhi Daredevils,Arun Jaitley Stadium,70,42,7,3,,caught (RR Pant),,,IPL 2018,IPL-1136605,
IPL,2018-05-14,Kings XI Punjab,Holkar Cricket Stadium,48,29,6,2,,,,,IPL 2018,IPL-1136608,
IPL,2018-05-17,Sunrisers Hyderabad,M.Chinnaswamy Stadium,12,11,2,0,,bowled,,,IPL 2018,IPL-1136611,
IPL,2018-05-19,Rajasthan Royals,Sawai Mansingh Stadium,4,9,0,0,,bowled,,,IPL 2018,IPL-1136613,
T20I,2018-06-27,Ireland,Dublin (Malahide),0,2,,,,caught,India in Ireland 2018 — v Ireland,yes,,T20I # 678,India in Ireland 2018 — v Ireland|Ireland
T20I,2018-06-29,Ireland,Dublin (Malahide),9,8,1,,,caught,India in Ireland 2018 — v Ireland,yes,,T20I # 680,India in Ireland 2018 — v Ireland|Ireland
T20I,2018-07-03,England,Manchester,20,22,,1,yes,not out,India in England 2018 — v England,yes,,T20I # 684,India in England 2018 — v England|England
T20I,2018-07-06,England,Cardiff,47,38,1,2,,caught,India in England 2018 — v England,yes,,T20I # 688,India in England 2018 — v England|England
T20I,2018-07-08,England,Bristol,43,29,2,2,,caught,India in England 2018 — v England,yes,,T20I # 690,India in England 2018 — v England|England
ODI,2018-07-12,England,Nottingham,75,82,7,,,stumped,India in England 2018 — v England,yes,,ODI # 4014,India in England 2018 — v England|England
ODI,2018-07-14,England,Lord's,45,56,2,,,lbw,India in England 2018 — v England,yes,,ODI # 4016,India in England 2018 — v England|England
ODI,2018-07-17,England,Leeds,71,72,8,,,bowled,India in England 2018 — v England,yes,,ODI # 4018,India in England 2018 — v England|England
Test,2018-08-01,England,Birmingham,149,225,22,1,,caught,India in England 2018 — v England,yes,,Test # 2314,India in England 2018 — v England|England
Test,2018-08-01,England,Birmingham,51,93,4,,,lbw,India in England 2018 — v England,yes,,Test # 2314,India in England 2018 — v England|England
Test,2018-08-09,England,Lord's,23,57,2,,,caught,India in England 2018 — v England,yes,,Test # 2315,India in England 2018 — v England|England
Test,2018-08-09,England,Lord's,17,29,2,,,caught,India in England 2018 — v England,yes,,Test # 2315,India in England 2018 — v England|England
Test,2018-08-18,England,Nottingham,97,152,11,,,caught,India in England 2018 — v England,yes,,Test # 2316,India in England 2018 — v England|England
Test,2018-08-18,England,Nottingham,103,197,10,,,lbw,India in England 2018 — v England,yes,,Test # 2316,India in England 2018 — v England|England
Test,2018-08-30,England,Southampton,46,71,6,,,caught,India in England 2018 — v England,yes,,Test # 2317,India in England 2018 — v England|England
Test,2018-08-30,England,Southampton,58,130,4,,,caught,India in England 2018 — v England,yes,,Test # 2317,India in England 2018 — v England|England
Test,2018-09-07,England,The Oval,49,70,6,,,caught,India in England 2018 — v England,yes,,Test # 2318,India in England 2018 — v England|England
Test,2018-09-07,England,The Oval,0,1,,,,caught,India in England 2018 — v England,yes,,Test # 2318,India in England 2018 — v England|England
Test,2018-10-04,West Indies,Rajkot,139,230,10,,,caught,v West Indies in India 2018,no,,Test # 2319,v West Indies in India 2018|West Indies
Test,2018-10-12,West Indies,Hyderabad,45,78,5,,,lbw,v West Indies in India 2018,no,,Test # 2321,v West Indies in India 2018|West Indies
ODI,2018-10-21,West Indies,Guwahati,140,107,21,2,,stumped,v West Indies in India 2018,no,,ODI # 4056,v West Indies in India 2018|West Indies
ODI,2018-10-24,West Indies,Visakhapatnam,157,129,13,4,yes,not out,v West Indies in India 2018,no,,ODI # 4059,v West Indies in India 2018|West Indies
ODI,2018-10-27,West Indies,Pune,107,119,10,1,,bowled,v West Indies in India 2018,no,,ODI # 4062,v West Indies in India 2018|West Indies
ODI,2018-10-29,West Indies,Brabourne,16,17,2,,,caught,v West Indies in India 2018,no,,ODI # 4063,v West Indies in India 2018|West Indies
ODI,2018-11-01,West Indies,Thiruvananthapuram,33,29,6,,yes,not out,v West Indies in India 2018,no,,ODI # 4064,v West Indies in India 2018|West Indies
T20I,2018-11-21,Australia,Brisbane,4,8,,,,caught,India in Australia 2018/19 — v Australia,yes,,T20I # 712,India in Australia 2018/19 — v Australia|Australia
T20I,2018-11-25,Australia,Sydney,61,41,4,2,yes,not out,India in Australia 2018/19 — v Australia,yes,,T20I # 714,India in Australia 2018/19 — v Australia|Australia
Test,2018-12-06,Australia,Adelaide,3,16,,,,caught,India in Australia 2018/19 — v Australia,yes,,Test # 2333,India in Australia 2018/19 — v Australia|Australia
Test,2018-12-06,Australia,Adelaide,34,104,3,,,caught,India in Australia 2018/19 — v Australia,yes,,Test # 2333,India in Australia 2018/19 — v Australia|Australia
Test,2018-12-14,Australia,Perth,123,257,13,1,,caught,India in Australia 2018/19 — v Australia,yes,,Test # 2334,India in Australia 2018/19 — v Australia|Australia
Test,2018-12-14,Australia,Perth,17,40,2,,,caught,India in Australia 2018/19 — v Australia,yes,,Test # 2334,India in Australia 2018/19 — v Australia|Australia
Test,2018-12-26,Australia,Melbourne,82,204,9,,,caught,India in Australia 2018/19 — v Australia,yes,,Test # 2337,India in Australia 2018/19 — v Australia|Australia
Test,2018-12-26,Australia,Melbourne,0,4,,,,caught,India in Australia 2018/19 — v Australia,yes,,Test # 2337,India in Australia 2018/19 — v Australia|Australia
Test,2019-01-03,Australia,Sydney,23,59,4,,,caught,India in Australia 2018/19 — v Australia,yes,,Test # 2339,India in Australia 2018/19 — v Australia|Australia
ODI,2019-01-12,Australia,Sydney,3,8,,,,caught,India in Australia 2018/19 — v Australia,yes,,ODI # 4077,India in Australia 2018/19 — v Australia|Australia
ODI,2019-01-15,Australia,Adelaide,104,112,5,2,,caught,India in Australia 2018/19 — v Australia,yes,,ODI # 4078,India in Australia 2018/19 — v Australia|Australia
ODI,2019-01-18,Australia,Melbourne,46,62,3,,,caught,India in Australia 2018/19 — v Australia,yes,,ODI # 4079,India in Australia 2018/19 — v Australia|Australia
ODI,2019-01-23,New Zealand,Napier,45,59,3,,,caught,India in New Zealand 2019 — v New Zealand,yes,,ODI # 4082,India in New Zealand 2019 — v New Zealand|New Zealand
ODI,2019-01-26,New Zealand,Mount Maunganui,43,45,5,,,caught,India in New Zealand 2019 — v New Zealand,yes,,ODI # 4085,India in New Zealand 2019 — v New Zealand|New Zealand
ODI,2019-01-28,New Zealand,Mount Maunganui,60,74,6,1,,caught,India in New Zealand 2019 — v New Zealand,yes,,ODI # 4088,India in New Zealand 2019 — v New Zealand|New Zealand
T20I,2019-02-24,Australia,Visakhapatnam,24,17,3,,,caught,v Australia in India 2019,no,,T20I # 748,v Australia in India 2019|Australia
T20I,2019-02-27,Australia,Bengaluru,72,38,2,6,yes,not out,v Australia in India 2019,no,,T20I # 749,v Australia in India 2019|Australia
ODI,2019-03-02,Australia,Hyderabad,44,45,6,1,,lbw,v Australia in India 2019,no,,ODI # 4102,v Australia in India 2019|Australia
ODI,2019-03-05,Australia,Nagpur,116,120,10,,,caught,v Australia in India 2019,no,,ODI # 4106,v Australia in India 2019|Australia
ODI,2019-03-08,Australia,Ranchi,123,95,16,1,,bowled,v Australia in India 2019,no,,ODI # 4109,v Australia in India 2019|Australia
ODI,2019-03-10,Australia,Mohali,7,6,1,,,caught,v Australia in India 2019,no,,ODI # 4111,v Australia in India 2019|Australia
ODI,2019-03-13,Australia,Delhi,20,22,2,,,caught,v Australia in India 2019,no,,ODI # 4113,v Australia in India 2019|Australia
IPL,2019-03-23,Chennai Super Kings,MA Chidambaram Stadium,6,12,0,0,,caught (RA Jadeja),,,IPL 2019,IPL-1175356,
IPL,2019-03-28,Mumbai Indians,M.Chinnaswamy Stadium,46,33,6,0,,caught (HH Pandya),,,IPL 2019,IPL-1175362,
IPL,2019-03-31,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,3,10,0,0,,caught (DA Warner),,,IPL 2019,IPL-1175366,
IPL,2019-04-02,Rajasthan Royals,Sawai Mansingh Stadium,23,26,3,0,,bowled,,,IPL 2019,IPL-1175369,
IPL,2019-04-05,Kolkata Knight Riders,M.Chinnaswamy Stadium,84,49,9,2,,caught and bowled,,,IPL 2019,IPL-1175372,
IPL,2019-04-07,Delhi Capitals,M.Chinnaswamy Stadium,41,33,1,2,,caught (SS Iyer),,,IPL 2019,IPL-1178395,
IPL,2019-04-13,Kings XI Punjab,Punjab Cricket Association IS Bindra Stadium,67,54,8,0,,caught (M Ashwin),,,IPL 2019,IPL-1178403,
IPL,2019-04-15,Mumbai Indians,Wankhede Stadium,8,10,1,0,,caught (Q de Kock),,,IPL 2019,IPL-1178406,
IPL,2019-04-19,Kolkata Knight Riders,Eden Gardens,100,58,9,4,,caught (Shubman Gill),,,IPL 2019,IPL-1178410,
IPL,2019-04-21,Chennai Super Kings,M.Chinnaswamy Stadium,9,8,2,0,,caught (MS Dhoni),,,IPL 2019,IPL-1178414,
IPL,2019-04-24,Kings XI Punjab,M.Chinnaswamy Stadium,13,8,2,0,,caught (Mandeep Singh),,,IPL 2019,IPL-1178417,
IPL,2019-04-28,Delhi Capitals,Arun Jaitley Stadium,23,17,2,1,,caught (SE Rutherford),,,IPL 2019,IPL-1178421,
IPL,2019-04-30,Rajasthan Royals,M.Chinnaswamy Stadium,25,7,1,3,,caught (LS Livingstone),,,IPL 2019,IPL-1178424,
IPL,2019-05-04,Sunrisers Hyderabad,M.Chinnaswamy Stadium,16,7,2,1,,caught (WP Saha),,,IPL 2019,IPL-1178429,
ODI,2019-06-05,South Africa,Southampton,18,34,1,,,caught,Tournament in England 2019,yes,,ODI # 4150,Tournament in England 2019|South Africa
ODI,2019-06-09,Australia,The Oval,82,77,4,2,,caught,Tournament in England 2019,yes,,ODI # 4155,Tournament in England 2019|Australia
ODI,2019-06-16,Pakistan,Manchester,77,65,7,,,caught,Tournament in England 2019,yes,,ODI # 4161,Tournament in England 2019|Pakistan
ODI,2019-06-22,Afghanistan,Southampton,67,63,5,,,caught,Tournament in England 2019,yes,,ODI # 4169,Tournament in England 2019|Afghanistan
ODI,2019-06-27,West Indies,Manchester,72,82,8,,,caught,Tournament in England 2019,yes,,ODI # 4175,Tournament in England 2019|West Indies
ODI,2019-06-30,England,Birmingham,66,76,7,,,caught,India in England 2019 — v England,yes,,ODI # 4179,India in England 2019 — v England|England
ODI,2019-07-02,Bangladesh,Birmingham,26,27,3,,,caught,Tournament in England 2019,yes,,ODI # 4182,Tournament in England 2019|Bangladesh
ODI,2019-07-06,Sri Lanka,Leeds,34,41,3,,yes,not out,Tournament in England 2019,yes,,ODI # 4187,Tournament in England 2019|Sri Lanka
ODI,2019-07-09,New Zealand,Manchester,1,6,,,,lbw,Tournament in England 2019,yes,,ODI # 4190,Tournament in England 2019|New Zealand
T20I,2019-08-03,West Indies,Lauderhill,19,29,1,,,caught,Tournament in USA 2019,yes,,T20I # 842,Tournament in USA 2019|West Indies
T20I,2019-08-04,West Indies,Lauderhill,28,23,1,1,,bowled,Tournament in USA 2019,yes,,T20I # 843,Tournament in USA 2019|West Indies
T20I,2019-08-06,West Indies,Providence,59,45,6,,,caught,India in West Indies 2019 — v West Indies,yes,,T20I # 846,India in West Indies 2019 — v West Indies|West Indies
ODI,2019-08-11,West Indies,Port of Spain,120,125,14,1,,caught,India in West Indies 2019 — v West Indies,yes,,ODI # 4197,India in West Indies 2019 — v West Indies|West Indies
ODI,2019-08-14,West Indies,Port of Spain,114,99,14,,yes,not out,India in West Indies 2019 — v West Indies,yes,,ODI # 4199,India in West Indies 2019 — v West Indies|West Indies
Test,2019-08-22,West Indies,North Sound,9,12,2,,,caught,India in West Indies 2019 — v West Indies,yes,,Test # 2358,India in West Indies 2019 — v West Indies|West Indies
Test,2019-08-22,West Indies,North Sound,51,113,2,,,caught,India in West Indies 2019 — v West Indies,yes,,Test # 2358,India in West Indies 2019 — v West Indies|West Indies
Test,2019-08-30,West Indies,Kingston,76,163,10,,,caught,India in West Indies 2019 — v West Indies,yes,,Test # 2359,India in West Indies 2019 — v West Indies|West Indies
Test,2019-08-30,West Indies,Kingston,0,1,,,,caught,India in West Indies 2019 — v West Indies,yes,,Test # 2359,India in West Indies 2019 — v West Indies|West Indies
T20I,2019-09-18,South Africa,Mohali,72,52,4,3,yes,not out,v South Africa in India 2019,no,,T20I # 888,v South Africa in India 2019|South Africa
T20I,2019-09-22,South Africa,Bengaluru,9,15,,,,caught,v South Africa in India 2019,no,,T20I # 893,v South Africa in India 2019|South Africa
Test,2019-10-02,South Africa,Visakhapatnam,20,40,4,,,caught,v South Africa in India 2019,no,,Test # 2363,v South Africa in India 2019|South Africa
Test,2019-10-02,South Africa,Visakhapatnam,31,25,3,1,yes,not out,v South Africa in India 2019,no,,Test # 2363,v South Africa in India 2019|South Africa
Test,2019-10-10,South Africa,Pune,254,336,33,2,yes,not out,v South Africa in India 2019,no,,Test # 2364,v South Africa in India 2019|South Africa
Test,2019-10-19,South Africa,Ranchi,12,22,2,,,lbw,v South Africa in India 2019,no,,Test # 2365,v South Africa in India 2019|South Africa
Test,2019-11-14,Bangladesh,Indore,0,2,,,,lbw,v Bangladesh in India 2019,no,,Test # 2366,v Bangladesh in India 2019|Bangladesh
Test,2019-11-22,Bangladesh,Eden Gardens,136,194,18,,,caught,v Bangladesh in India 2019,no,,Test # 2369,v Bangladesh in India 2019|Bangladesh
T20I,2019-12-06,West Indies,Hyderabad,94,50,6,6,yes,not out,v West Indies in India 2019,no,,T20I # 1020,v West Indies in India 2019|West Indies
T20I,2019-12-08,West Indies,Thiruvananthapuram,19,17,2,,,caught,v West Indies in India 2019,no,,T20I # 1022,v West Indies in India 2019|West Indies
T20I,2019-12-11,West Indies,Wankhede,70,29,4,7,yes,not out,v West Indies in India 2019,no,,T20I # 1024,v West Indies in India 2019|West Indies
ODI,2019-12-15,West Indies,Chennai,4,4,1,,,bowled,v West Indies in India 2019,no,,ODI # 4221,v West Indies in India 2019|West Indies
ODI,2019-12-18,West Indies,Visakhapatnam,0,1,,,,caught,v West Indies in India 2019,no,,ODI # 4222,v West Indies in India 2019|West Indies
ODI,2019-12-22,West Indies,Cuttack,85,81,9,,,bowled,v West Indies in India 2019,no,,ODI # 4223,v West Indies in India 2019|West Indies
T20I,2020-01-07,Sri Lanka,Indore,30,17,1,2,yes,not out,v Sri Lanka in India 2020,no,,T20I # 1026,v Sri Lanka in India 2020|Sri Lanka
T20I,2020-01-10,Sri Lanka,Pune,26,17,2,1,,run out,v Sri Lanka in India 2020,no,,T20I # 1027,v Sri Lanka in India 2020|Sri Lanka
ODI,2020-01-14,Australia,Wankhede,16,14,,1,,caught,v Australia in India 2020,no,,ODI # 4231,v Australia in India 2020|Australia
ODI,2020-01-17,Australia,Rajkot,78,76,6,,,caught,v Australia in India 2020,no,,ODI # 4232,v Australia in India 2020|Australia
ODI,2020-01-19,Australia,Bengaluru,89,91,8,,,bowled,v Australia in India 2020,no,,ODI # 4233,v Australia in India 2020|Australia
T20I,2020-01-24,New Zealand,Auckland,45,32,3,1,,caught,India in New Zealand 2020 — v New Zealand,yes,,T20I # 1031,India in New Zealand 2020 — v New Zealand|New Zealand
T20I,2020-01-26,New Zealand,Auckland,11,12,1,,,caught,India in New Zealand 2020 — v New Zealand,yes,,T20I # 1034,India in New Zealand 2020 — v New Zealand|New Zealand
T20I,2020-01-29,New Zealand,Hamilton,38,27,2,1,,caught,India in New Zealand 2020 — v New Zealand,yes,,T20I # 1035,India in New Zealand 2020 — v New Zealand|New Zealand
T20I,2020-01-31,New Zealand,Wellington,11,9,2,,,caught,India in New Zealand 2020 — v New Zealand,yes,,T20I # 1036,India in New Zealand 2020 — v New Zealand|New Zealand
ODI,2020-02-05,New Zealand,Hamilton,51,63,6,,,bowled,India in New Zealand 2020 — v New Zealand,yes,,ODI # 4235,India in New Zealand 2020 — v New Zealand|New Zealand
ODI,2020-02-08,New Zealand,Auckland,15,25,1,,,bowled,India in New Zealand 2020 — v New Zealand,yes,,ODI # 4239,India in New Zealand 2020 — v New Zealand|New Zealand
ODI,2020-02-11,New Zealand,Mount Maunganui,9,12,,1,,caught,India in New Zealand 2020 — v New Zealand,yes,,ODI # 4243,India in New Zealand 2020 — v New Zealand|New Zealand
Test,2020-02-21,New Zealand,Wellington,2,7,,,,caught,India in New Zealand 2020 — v New Zealand,yes,,Test # 2385,India in New Zealand 2020 — v New Zealand|New Zealand
Test,2020-02-21,New Zealand,Wellington,19,43,3,,,caught,India in New Zealand 2020 — v New Zealand,yes,,Test # 2385,India in New Zealand 2020 — v New Zealand|New Zealand
Test,2020-02-29,New Zealand,Christchurch,3,15,,,,lbw,India in New Zealand 2020 — v New Zealand,yes,,Test # 2387,India in New Zealand 2020 — v New Zealand|New Zealand
Test,2020-02-29,New Zealand,Christchurch,14,30,3,,,lbw,India in New Zealand 2020 — v New Zealand,yes,,Test # 2387,India in New Zealand 2020 — v New Zealand|New Zealand
IPL,2020-09-21,Sunrisers Hyderabad,Dubai International Cricket Stadium,14,13,0,0,,caught (Rashid Khan),,,IPL 2020,IPL-1216534,
IPL,2020-09-24,Kings XI Punjab,Dubai International Cricket Stadium,1,5,0,0,,caught (Ravi Bishnoi),,,IPL 2020,IPL-1216510,
IPL,2020-09-28,Mumbai Indians,Dubai International Cricket Stadium,3,11,0,0,,caught (RG Sharma),,,IPL 2020,IPL-1216547,
IPL,2020-09-28,Mumbai Indians,Dubai International Cricket Stadium,5,2,1,0,,,,,IPL 2020,IPL-1216547,
IPL,2020-10-03,Rajasthan Royals,Sheikh Zayed Stadium,72,53,7,2,,,,,IPL 2020,IPL-1216514,
IPL,2020-10-05,Delhi Capitals,Dubai International Cricket Stadium,43,42,2,1,,caught (RR Pant),,,IPL 2020,IPL-1216519,
IPL,2020-10-10,Chennai Super Kings,Dubai International Cricket Stadium,90,57,4,4,,,,,IPL 2020,IPL-1216525,
IPL,2020-10-12,Kolkata Knight Riders,Sharjah Cricket Stadium,33,30,1,0,,,,,IPL 2020,IPL-1216540,
IPL,2020-10-15,Kings XI Punjab,Sharjah Cricket Stadium,48,41,3,0,,caught (KL Rahul),,,IPL 2020,IPL-1216531,
IPL,2020-10-17,Rajasthan Royals,Dubai International Cricket Stadium,43,34,1,2,,caught (R Tewatia),,,IPL 2020,IPL-1216522,
IPL,2020-10-21,Kolkata Knight Riders,Sheikh Zayed Stadium,18,17,2,0,,,,,IPL 2020,IPL-1216494,
IPL,2020-10-25,Chennai Super Kings,Dubai International Cricket Stadium,50,45,1,1,,caught (F du Plessis),,,IPL 2020,IPL-1216544,
IPL,2020-10-28,Mumbai Indians,Sheikh Zayed Stadium,9,14,0,0,,caught (SS Tiwary),,,IPL 2020,IPL-1216499,
IPL,2020-10-31,Sunrisers Hyderabad,Sharjah Cricket Stadium,7,7,0,0,,caught (KS Williamson),,,IPL 2020,IPL-1216502,
IPL,2020-11-02,Delhi Capitals,Sheikh Zayed Stadium,29,24,2,1,,caught (MP Stoinis),,,IPL 2020,IPL-1216505,
IPL,2020-11-06,Sunrisers Hyderabad,Sheikh Zayed Stadium,6,7,0,0,,caught (SP Goswami),,,IPL 2020,IPL-1237178,
ODI,2020-11-27,Australia,Sydney,21,21,2,1,,caught,India in Australia 2020/21 — v Australia,yes,,ODI # 4265,India in Australia 2020/21 — v Australia|Australia
ODI,2020-11-29,Australia,Sydney,89,87,7,2,,caught,India in Australia 2020/21 — v Australia,yes,,ODI # 4266,India in Australia 2020/21 — v Australia|Australia
ODI,2020-12-02,Australia,Canberra,63,78,5,,,caught,India in Australia 2020/21 — v Australia,yes,,ODI # 4267,India in Australia 2020/21 — v Australia|Australia
T20I,2020-12-04,Australia,Canberra,9,9,1,,,caught,India in Australia 2020/21 — v Australia,yes,,T20I # 1114,India in Australia 2020/21 — v Australia|Australia
T20I,2020-12-06,Australia,Sydney,40,24,2,2,,caught,India in Australia 2020/21 — v Australia,yes,,T20I # 1115,India in Australia 2020/21 — v Australia|Australia
T20I,2020-12-08,Australia,Sydney,85,61,4,3,,caught,India in Australia 2020/21 — v Australia,yes,,T20I # 1116,India in Australia 2020/21 — v Australia|Australia
Test,2020-12-17,Australia,Adelaide,74,180,8,,,run out,India in Australia 2020/21 — v Australia,yes,,Test # 2396,India in Australia 2020/21 — v Australia|Australia
Test,2020-12-17,Australia,Adelaide,4,8,1,,,caught,India in Australia 2020/21 — v Australia,yes,,Test # 2396,India in Australia 2020/21 — v Australia|Australia
Test,2021-02-05,England,Chennai,11,48,,,,caught,v England in India 2021,no,,Test # 2409,v England in India 2021|England
Test,2021-02-05,England,Chennai,72,104,9,,,bowled,v England in India 2021,no,,Test # 2409,v England in India 2021|England
Test,2021-02-13,England,Chennai,0,5,,,,bowled,v England in India 2021,no,,Test # 2411,v England in India 2021|England
Test,2021-02-13,England,Chennai,62,149,7,,,lbw,v England in India 2021,no,,Test # 2411,v England in India 2021|England
Test,2021-02-24,England,Ahmedabad,27,58,3,,,bowled,v England in India 2021,no,,Test # 2412,v England in India 2021|England
Test,2021-03-04,England,Ahmedabad,0,8,,,,caught,v England in India 2021,no,,Test # 2414,v England in India 2021|England
T20I,2021-03-12,England,Ahmedabad,0,5,,,,caught,v England in India 2021,no,,T20I # 1131,v England in India 2021|England
T20I,2021-03-14,England,Ahmedabad,73,49,5,3,yes,not out,v England in India 2021,no,,T20I # 1132,v England in India 2021|England
T20I,2021-03-16,England,Ahmedabad,77,46,8,4,yes,not out,v England in India 2021,no,,T20I # 1133,v England in India 2021|England
